File,E_Gain_dB,E_HPBW_deg,E_F_B_Ratio_dB,H_Gain_dB,H_HPBW_deg,H_F_B_Ratio_dB
BND-I-ant1_0.65GHz,0.00189585754606902,99,7.94978831147269,-0.830058733189445,71.4,12.8798895899054
BND-I-ant1_0.8GHz,0.00334032043831201,72.1,7.25645495507959,-0.811006765731371,91.7,12.4792057744108
BND-I-ant1_0.95GHz,-7.1629140378549,84,7.9376321051949,0.00334032043831201,67.8,11.4643403935849
BND-I-ant2_0.65GHz,-3.8877376307488,26.5,10.7009608998838,0.00352087829984238,82.8,11.8426428891617
BND-I-ant2_0.8GHz,-0.748364602357636,56.3,5.9161215341192,0.00288892578448618,46.3,5.59810430387221
BND-I-ant2_0.95GHz,0.00334032043831201,92.1,6.06963586917653,-3.79694608168687,78.4,5.21182135148598
BND-I-ant3_0.65GHz,-1.47753872766525,36,3.80308762133027,0.00162502075377335,148.5,1.56203760584426
BND-I-ant3_0.8GHz,-0.0440644197243965,68.1,13.2864970964224,-1.40571143948199,203.1,5.49354142453927
BND-I-ant3_0.95GHz,-0.0385563672588469,104.3,12.171030422623,-3.69504814876308,171.1,1.23252531960817
BND-I-ant4_0.65GHz,-6.25064232940396,103.7,17.3991490951353,0.00442366760749424,212.5,4.38573592893906
BND-I-ant4_0.8GHz,0.00343059936907708,76.8,8.08477917981073,-4.28986593059938,105.4,3.95875394321766
BND-I-ant4_0.95GHz,0.00370143616137275,61.2,16.9648306491782,-6.91458056616305,114.3,1.1823195326097
BND-II-ant1_1.7GHz,-0.53772932923793,60.6,5.35414868005977,0.00370143616137275,92.1,2.35740829136458
BND-II-ant1_2.15GHz,0.00334032043831201,74.4,16.9736821479712,0.00334032043831201,50.5,15.035160813936
BND-II-ant1_2.6GHz,-0.893378507388355,14,8.92412788690417,0.00460422546902484,35.2,7.98252386684377
BND-II-ant2_1.7GHz,-3.01589531794788,104.4,6.65563672588411,0.00379171509213805,61.3,3.63172772794628
BND-II-ant2_2.15GHz,-2.38477917981073,44.5,7.1016935082185,0.0039722729536682,51.6,3.74452919871283
BND-II-ant2_2.6GHz,-0.720756890254032,83.9,1.69586901788269,-0.0824848497426593,28.4,15.5741854386107
BND-II-ant3_1.7GHz,-3.19975821849577,47.2,11.7888959449876,0.00334032043831201,42.8,26.0739684773708
BND-II-ant3_2.15GHz,-0.0358028003148383,95,13.8030616718128,-3.16406898555538,51,10.0767707614748
BND-II-ant3_2.6GHz,-0.137976469059206,55.6,12.1849318666708,-0.701411256848753,42.5,15.4274230265464
BND-II-ant4_1.7GHz,0.00388199402290312,80.6,8.20216254358293,-1.7627376307488,114,1.75886779168846
BND-II-ant4_2.15GHz,-0.759380707288735,61.1,13.332702608529,0.00361115723060768,78.4,20.5235623834393
BND-II-ant4_2.6GHz,-0.333653745915559,16.5,5.39840251683896,0.00415283081519879,42.4,3.42280431929413
BND-III-ant1_3.3GHz,-3.90561597210693,94,6.75867151783397,0.00325004150754671,68.8,8.34139879264704
BND-III-ant1_3.9GHz,-4.19248298190271,32.4,9.87755519191839,0.0039722729536682,51.5,12.4886087245918
BND-III-ant2_3.3GHz,0.00370143616137275,71.4,27.7725479753478,-0.477570355304674,30.1,19.214660729629
BND-III-ant2_3.9GHz,0.00379171509213805,33.5,27.4332712482646,-3.44727917981073,72.2,18.0307196734388
BND-III-ant3_3.3GHz,-0.0716046820521443,56.4,13.6575543748963,-4.03916237755273,48.3,18.4194285130183
BND-III-ant3_3.9GHz,-0.0798667607504688,75.3,17.0459561222425,-1.52661671924291,43.5,4.18851570137137
BND-III-ant4_3.3GHz,-0.0995506807238991,105.9,27.753973968699,-0.30497156732526,51.7,2.9272476340694
BND-III-ant4_3.9GHz,0.0040625518844335,33.4,10.8229287778932,-2.37295056450275,57.9,11.4228685870829
