Antenna_Band,Avg_E_Gain,Avg_E_HPBW,Avg_E_FB,Avg_H_Gain,Avg_H_HPBW,Avg_H_FB
ant1 (BND-I),-2.08544304125852,66.3125,8.87900759955433,-0.202357110244072,66.125,10.3785670309105
ant2 (BND-I),-1.34333751867841,64.075,11.6682170973472,-0.97376333430185,56.3875,10.3560489141072
ant3 (BND-I),-0.635646055665115,67.2375,12.2176268901232,-1.81588169828159,93.85,10.3092763537217
ant4 (BND-I),-0.928518860236796,67.4,13.4948661674584,-1.95411482546074,97.075,6.19777001504258
ant1 (BND-II),-1.90517329403952,55.08,9.5776370849375,0.0037736593059849,59.62,9.24102009787664
ant2 (BND-II),-1.22278764735183,67.54,14.1318036951195,-0.799914079362451,48.72,12.0391645536675
ant3 (BND-II),-0.705001786134485,65.9,13.696079996122,-1.88558380375229,45.62,14.8372212959563
ant4 (BND-II),-0.236928117604171,59.5,13.1020340831086,-0.886579154906201,68.88,8.01107014311484
ant1 (BND-III),-4.04904947700482,63.2,8.31811335487618,0.00361115723060745,60.15,10.4150037586194
ant2 (BND-III),0.0037465756267554,52.45,27.6029096118062,-1.9624247675577,51.15,18.6226902015339
ant3 (BND-III),-0.0757357214013065,65.85,15.3517552485694,-2.78288954839782,45.9,11.3039721071948
ant4 (BND-III),-0.0477440644197328,69.65,19.2884513732961,-1.33896106591401,54.8,7.17505811057615
